trader_id,department,seniority,avg_daily_trades,avg_trade_value,risk_profile,years_experience,network_risk_score,peer_group
TRD0424,Equities,Mid,21,2725359,Low,14,0.4536,10
TRD0425,Derivatives,Junior,10,2143931,Low,10,0.5571,10
TRD0426,FX,Mid,14,954903,Low,26,0.4809,2
TRD0427,Equities,Junior,5,3101421,Low,8,0.4538,8
TRD0428,FX,Director,10,1637633,Medium,14,0.7788,6
TRD0429,Equities,Mid,19,968713,Low,23,0.7109,2
TRD0430,FX,Senior,8,3283299,Low,27,0.3309,3
TRD0431,Commodities,Mid,5,912280,Medium,27,0.7625,10
TRD0432,Derivatives,Mid,14,3380624,Medium,3,0.8124,6
TRD0433,Derivatives,Mid,5,852364,Medium,27,0.1543,4
TRD0434,FX,Senior,9,2202060,Medium,4,0.5577,4
TRD0435,Equities,Senior,12,4049565,Medium,17,0.2782,9
TRD0436,Equities,Junior,14,1181795,Low,27,0.7048,3
TRD0437,Equities,Director,16,3849757,Low,19,0.2345,2
TRD0438,Fixed Income,Junior,17,3623438,Medium,28,0.6411,6
TRD0439,Derivatives,Director,21,4518152,Low,10,0.2498,10
TRD0440,Derivatives,Junior,3,885921,Low,10,0.4905,2
TRD0441,FX,Mid,10,3589826,Low,10,0.9017,3
TRD0442,Equities,Senior,2,4686514,Low,11,0.3684,5
TRD0443,Derivatives,Junior,2,3826942,Low,20,0.8332,2
TRD0444,Equities,Mid,6,980122,Low,14,0.9377,7
TRD0445,Equities,Mid,15,4119698,Medium,22,0.8324,3
TRD0446,Derivatives,Junior,22,581196,High,13,0.1659,2
TRD0447,Commodities,Senior,19,2964779,Low,9,0.7805,3
TRD0448,Derivatives,Director,16,2513356,High,6,0.0402,10
TRD0449,Equities,Director,19,2678843,Low,16,0.3797,10
TRD0450,Derivatives,Mid,5,2621770,High,27,0.8285,6
TRD0451,Equities,Mid,21,205809,High,25,0.6574,5
TRD0452,FX,Junior,22,2565554,Low,8,0.5108,9
TRD0453,Derivatives,Junior,4,4686884,Medium,14,0.3746,2
TRD0454,Equities,Junior,12,2211504,High,21,0.7736,7
TRD0455,Equities,Director,21,1420719,High,18,0.677,7
TRD0456,Equities,Director,12,4974333,High,2,0.4503,8
TRD0457,Commodities,Senior,21,540012,Medium,18,0.8489,3
TRD0458,Fixed Income,Mid,23,2457089,Low,2,0.2262,8
TRD0459,Derivatives,Mid,12,2587359,Medium,4,0.1702,7
TRD0460,Derivatives,Mid,3,2415835,Medium,19,0.6142,9
TRD0461,Fixed Income,Mid,9,4612543,Medium,3,0.9237,2
TRD0462,Equities,Mid,6,2137742,Low,10,0.2424,7
TRD0463,Commodities,Junior,12,4867843,Medium,18,0.2447,9
TRD0464,Equities,Junior,15,380787,Low,20,0.1411,3
TRD0465,Fixed Income,Director,12,3682984,Medium,13,0.8189,8
TRD0466,Derivatives,Mid,6,2985135,Low,3,0.2228,1
TRD0467,Derivatives,Director,8,1240702,Medium,24,0.483,8
TRD0468,Commodities,Junior,17,1178440,Medium,28,0.9414,7
TRD0469,Equities,Mid,2,3612417,Low,26,0.0214,2
TRD0470,Fixed Income,Junior,6,3206164,Medium,22,0.5331,1
TRD0471,Fixed Income,Mid,22,3075291,Low,12,0.4916,8
TRD0472,Fixed Income,Junior,4,301625,High,26,0.769,3
TRD0473,Equities,Junior,11,3009521,Medium,15,0.344,5
TRD0474,Equities,Director,6,4907866,Low,4,0.3957,1
TRD0475,Equities,Mid,4,135749,Low,25,0.1679,10
TRD0476,Equities,Senior,11,2371575,Low,10,0.7064,6
TRD0477,Fixed Income,Mid,13,2497169,Low,28,0.7476,10
TRD0478,Derivatives,Mid,6,4488939,High,11,0.1385,2
TRD0479,Derivatives,Mid,3,1450087,Medium,26,0.3798,3
TRD0480,Fixed Income,Junior,5,2404027,Low,16,0.8493,7
TRD0481,Fixed Income,Director,16,3600100,High,14,0.0125,7
TRD0482,Equities,Senior,21,348637,Low,9,0.2908,8
TRD0483,Fixed Income,Senior,6,4015392,High,25,0.5317,10
TRD0484,Equities,Mid,9,4119957,Low,2,0.324,9
TRD0485,Equities,Junior,9,3612252,Medium,14,0.2657,2
TRD0486,Fixed Income,Director,10,3258509,High,11,0.4424,4
TRD0487,Fixed Income,Mid,7,3750674,Low,16,0.1806,10
TRD0488,Equities,Junior,3,3919697,Medium,8,0.5078,6
TRD0489,Fixed Income,Mid,14,4521805,High,20,0.6743,9
TRD0490,Fixed Income,Senior,10,2169440,Low,12,0.5508,6
TRD0491,Derivatives,Senior,9,2307478,Low,6,0.0975,1
TRD0492,Derivatives,Senior,8,3207786,Medium,6,0.8037,5
TRD0493,Derivatives,Senior,23,1005792,Low,21,0.1745,9
TRD0494,Equities,Junior,16,4288333,Low,8,0.7289,7
TRD0495,Derivatives,Director,11,3864041,Low,9,0.3489,2
TRD0496,Fixed Income,Mid,6,3173773,Medium,19,0.7458,3
TRD0497,Fixed Income,Senior,20,1543174,Low,10,0.2039,9
TRD0498,Derivatives,Junior,22,1770984,Low,12,0.1855,10
TRD0499,Fixed Income,Director,2,2203124,Medium,8,0.4772,8
TRD0500,Fixed Income,Mid,23,3329521,Medium,11,0.041,1
